day,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29
0,4.48833,1.75175,1.59550,4.80314,1.80258,2.06028,4.10248,2.07311,2.00591,4.32832,3.78438,4.88970,4.68459,2.00095,2.19876,4.67597,2.92554,2.71411,2.04810,3.50797,2.11797,3.41351,2.13548,1.52315,2.01461,1.62322,2.00983,1.99894,1.81339
1,4.39650,1.70681,1.52174,4.78781,1.68741,2.01320,2.37886,2.00824,1.91469,4.34505,2.23573,4.82578,4.56628,1.83541,2.02221,4.54735,2.01626,1.89541,1.89821,2.07185,2.03888,1.98761,2.01822,1.37310,1.84188,1.51790,1.87464,1.95299,1.76787
2,4.32281,1.83175,1.64857,4.73433,1.80186,2.12335,2.22934,2.15277,2.05220,4.31868,2.19812,4.77959,4.64639,2.00455,2.23264,4.49691,2.22283,2.16178,2.13723,2.18268,2.17551,2.14136,2.14013,1.53804,1.94247,1.72729,2.00018,2.05293,1.91640
3,4.19310,1.98493,1.83935,4.64261,1.95168,2.23072,2.37090,2.27839,2.20449,4.06935,2.44107,4.62633,4.43937,2.18135,2.37972,4.44047,2.45302,2.41723,2.32650,2.45425,2.30572,2.43608,2.28839,1.78588,2.12341,2.03357,2.14697,2.15113,2.09402
4,3.97295,2.02031,1.90426,4.55534,2.03746,2.26835,2.89933,2.29559,2.25911,3.93971,2.62767,4.51086,4.38420,2.32679,2.43597,4.42648,2.51122,2.49657,2.41268,2.56266,2.38234,2.55494,2.32948,1.94321,2.25051,2.18442,2.23768,2.17719,2.14576
5,4.01838,1.88724,1.73680,4.55181,1.84088,2.14859,4.42420,2.16536,2.08131,3.99548,4.12202,4.54503,4.48413,2.18308,2.52080,4.44296,3.23566,3.16876,2.42285,3.85644,2.24710,3.85972,2.20474,1.74391,2.12035,1.92081,2.06645,2.07934,1.99261
6,4.16134,1.64939,1.44525,4.54669,1.58741,1.94738,4.20945,1.95969,1.83293,4.05256,3.97323,4.60125,4.49649,1.94420,2.62144,4.41982,3.54178,3.40380,2.53157,3.86809,2.02602,3.79633,1.99406,1.44147,1.84686,1.56525,1.85911,1.87365,1.75009
7,4.27388,1.61757,1.41475,4.51015,1.53007,1.92582,3.90194,1.93396,1.80282,4.06262,3.50291,4.52457,4.48315,1.88719,2.21575,4.28944,2.88137,2.76239,2.17246,3.29069,1.98770,3.21664,1.94942,1.38948,1.74730,1.50799,1.82673,1.84154,1.72309
8,4.28928,1.62627,1.42450,4.45300,1.50459,1.92149,4.36334,1.93229,1.77389,4.04466,4.08660,4.54320,4.49300,1.87203,2.44751,4.28987,3.06504,2.96062,2.28790,3.70987,1.99760,3.71784,1.93233,1.35110,1.69633,1.47013,1.79934,1.84352,1.73061
9,4.31939,1.47329,1.24973,4.51532,1.32762,1.78285,3.17614,1.80057,1.61918,4.10445,2.88909,4.58910,4.43119,1.54647,1.94726,4.34254,2.29719,2.15679,1.81870,2.57419,1.76035,2.51034,1.78722,1.14020,1.53725,1.25148,1.65004,1.69786,1.56386
10,4.14669,1.35820,1.11186,4.49144,1.22306,1.71261,2.35512,1.74225,1.55031,4.17709,2.10356,4.50226,4.33617,1.46213,1.74556,4.21618,1.87461,1.78532,1.63104,1.96840,1.70727,1.90724,1.74787,1.02106,1.46723,1.17040,1.58294,1.60002,1.46195
11,4.05266,1.53143,1.32512,4.33091,1.53900,1.88370,2.35099,1.94653,1.81702,4.08413,2.22353,4.36125,4.30421,1.81045,2.05855,4.10530,2.15336,2.14016,1.98812,2.19414,1.98351,2.18929,1.96396,1.33554,1.71453,1.56802,1.84278,1.72781,1.69256
12,3.94509,1.58884,1.46170,4.17897,1.75899,1.89773,4.04913,1.95120,1.84745,3.74780,3.58263,4.22552,4.19965,1.94303,2.09726,4.08248,2.49631,2.45178,2.04506,3.23788,2.01486,3.23648,1.98367,1.47832,1.83194,1.69643,1.90114,1.76632,1.76029
13,3.98412,1.31077,1.17256,4.11474,1.45542,1.58426,4.04261,1.61140,1.44995,3.85771,3.90353,4.18490,4.12722,1.61945,2.63954,4.01505,3.53769,3.44994,2.42960,3.87510,1.74261,3.86610,1.59928,1.08595,1.47064,1.20779,1.55807,1.50196,1.44494
14,3.90572,0.78305,0.58524,4.02649,0.83872,1.04109,3.21426,1.01491,0.76162,3.86159,2.92821,3.99499,3.96874,0.88329,1.80075,3.88807,2.30697,2.13237,1.54922,2.62428,1.17534,2.55295,0.98641,0.37266,0.82474,0.42557,0.96590,1.00029,0.91162
15,3.47604,0.38357,0.18912,3.82375,0.44685,0.68105,1.26469,0.63729,0.37897,3.69782,1.21737,3.81697,3.59469,0.32125,0.59895,3.75089,0.79846,0.62170,0.39600,0.97928,0.55653,0.86952,0.62944,0.01529,0.42639,0.05647,0.60035,0.64898,0.51114
16,2.86782,0.07581,0.01232,3.63644,0.13693,0.37897,0.14901,0.32143,0.16350,3.35646,0.22016,3.65781,3.29395,0.07166,0.10213,3.53123,0.04073,-0.04211,0.00327,0.04297,0.23352,-0.02495,0.33001,0.00160,0.14625,0.00152,0.29895,0.34094,0.18619
17,2.44741,0.01167,0.00914,3.47853,0.02550,0.21003,-0.03730,0.15113,0.09062,3.03448,0.10269,3.46696,3.15459,0.03695,0.05199,3.20436,0.00987,0.00908,0.02105,-0.00600,0.13099,-0.00809,0.17022,0.01086,0.06223,0.01780,0.13055,0.13712,0.05042
18,2.38207,0.06860,0.07399,3.23767,0.08108,0.26079,0.09276,0.22881,0.16802,2.77540,0.22418,3.30625,3.13287,0.15019,0.22708,2.95167,0.19638,0.17986,0.16910,0.16798,0.22976,0.16569,0.21633,0.08053,0.13965,0.10877,0.17820,0.16808,0.10857
19,2.53310,0.11214,0.10726,3.13975,0.12336,0.29956,0.61421,0.29697,0.21404,2.64428,0.36963,3.26110,3.12248,0.21522,0.30833,3.00806,0.30561,0.27263,0.24594,0.30254,0.28169,0.29357,0.26525,0.10910,0.19370,0.15693,0.22281,0.20808,0.16881
20,2.77512,0.03464,0.01497,3.16517,0.02627,0.20974,0.22059,0.20212,0.09220,2.59883,0.24970,3.28882,3.00320,0.06786,0.15091,3.02962,0.15501,0.08066,0.07532,0.15441,0.15091,0.11604,0.16625,0.01230,0.06999,0.02258,0.10691,0.14113,0.10189
21,2.44706,0.02259,0.02108,3.11141,0.01829,0.10240,0.34709,0.10448,0.03507,2.59401,0.07547,3.19641,2.87768,0.02133,0.02716,2.91482,0.02608,0.02639,0.02497,0.01816,0.03524,0.01710,0.07291,0.02009,0.02098,0.02395,0.03001,0.08653,0.05684
