day,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29
0,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982,0.28982
1,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079,0.29079
2,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183,0.29183
3,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296,0.29296
4,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416,0.29416
5,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543,0.29543
6,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678,0.29678
7,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819,0.29819
8,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968,0.29968
9,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123,0.30123
10,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285,0.30285
11,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454,0.30454
12,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628,0.30628
13,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809,0.30809
14,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996,0.30996
15,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189,0.31189
16,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388,0.31388
17,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592,0.31592
18,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801,0.31801
19,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015,0.32015
20,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235,0.32235
21,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459,0.32459
22,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688,0.32688
23,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922,0.32922
24,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160,0.33160
25,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402,0.33402
26,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648,0.33648
27,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898,0.33898
28,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152,0.34152
29,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410,0.34410
30,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671,0.34671
31,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935,0.34935
32,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203,0.35203
33,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473,0.35473
34,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747,0.35747
35,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024,0.36024
36,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303,0.36303
37,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585,0.36585
38,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869,0.36869
39,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156,0.37156
40,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445,0.37445
